id_driver,active_date,offers,bookings,bookings_cancelled_by_passenger,bookings_cancelled_by_driver,rides
3,2020-01-28,14,11,0,2,9
3,2020-02-05,10,6,0,1,5
3,2020-02-07,6,3,0,1,2
3,2020-02-09,25,8,0,1,7
23,2020-01-16,3,1,0,0,1
23,2020-02-04,3,2,0,0,2
23,2020-03-25,3,1,0,0,1
26,2020-02-24,10,2,0,0,2
26,2020-02-25,4,1,0,0,1
26,2020-05-04,4,3,0,0,3
26,2020-05-05,2,1,0,0,1
26,2020-06-18,21,1,0,0,1
38,2020-03-05,4,4,0,0,4
38,2020-06-23,5,5,1,0,4
51,2020-01-05,3,1,0,0,1
51,2020-01-14,9,4,0,0,4
51,2020-02-20,12,2,0,0,2
51,2020-05-13,1,1,0,0,1
60,2020-01-18,3,1,1,0,0
60,2020-02-17,7,1,0,0,1
60,2020-02-20,12,1,0,0,1
60,2020-04-20,7,5,2,0,3
60,2020-04-22,5,3,0,0,3
60,2020-05-12,2,1,1,0,0
60,2020-06-06,4,1,0,0,1
61,2020-02-05,3,1,0,0,1
61,2020-02-07,9,8,0,1,7
61,2020-03-14,1,1,0,0,1
81,2020-01-27,3,1,1,0,0
83,2020-02-17,22,4,1,0,3
83,2020-05-08,10,4,1,0,3
83,2020-05-09,19,5,0,0,5
83,2020-05-26,6,1,0,0,1
93,2020-02-20,5,5,0,0,5
93,2020-03-03,7,3,0,0,3
93,2020-03-30,5,6,0,0,6
93,2020-04-22,4,4,0,0,4
93,2020-05-06,4,2,0,0,2
94,2020-01-09,10,1,0,0,1
94,2020-05-25,2,1,0,0,1
94,2020-06-08,2,1,0,0,1
100,2020-05-19,3,1,0,0,1
111,2020-05-13,3,2,0,0,2
111,2020-06-09,5,2,0,0,2
113,2020-01-20,5,2,0,1,1
113,2020-03-08,6,2,1,1,0
113,2020-05-23,5,4,0,2,2
113,2020-06-25,3,1,0,0,1
115,2020-06-17,1,1,0,0,1
117,2020-02-05,10,2,0,0,2
117,2020-02-06,7,2,0,0,2
117,2020-02-15,6,4,0,1,3
117,2020-02-24,6,4,0,0,4
117,2020-02-25,6,3,0,0,3
117,2020-03-07,7,2,0,0,2
117,2020-05-25,3,1,0,0,1
117,2020-06-09,3,2,0,0,2
119,2020-01-11,6,1,0,0,1
119,2020-02-22,7,5,0,0,5
119,2020-02-27,2,2,0,0,2
120,2020-01-03,4,2,1,0,1
120,2020-01-22,6,1,0,0,1
146,2020-01-31,11,7,1,1,5
146,2020-03-16,3,2,0,0,2
146,2020-04-01,8,2,1,0,1
146,2020-04-13,2,2,0,0,2
146,2020-04-14,6,4,1,0,3
148,2020-03-13,2,1,0,0,1
148,2020-04-07,1,1,0,0,1
148,2020-05-13,2,1,0,0,1
150,2020-01-27,8,1,0,0,1
150,2020-04-02,5,1,0,0,1
150,2020-06-19,23,3,1,0,2
177,2020-01-19,17,2,1,0,1
177,2020-02-09,31,12,0,1,11
177,2020-02-21,41,8,0,3,5
177,2020-02-26,17,5,0,0,5
177,2020-03-09,11,6,1,0,5
177,2020-03-17,6,3,0,0,3
177,2020-04-30,13,4,1,0,3
177,2020-05-11,3,2,0,1,1
177,2020-05-18,2,2,1,0,1
